id,text
1,This was terrible
2,"It's fine, nothing special"
3,Absolutely fantastic experience
4,Would not recommend
5,Pretty good overall
6,Exceeded all my expectations
7,Deeply disappointed with this
8,"Solid product, does the job"
9,Complete waste of money
10,I love this product
11,This was terrible
12,"It's fine, nothing special"
13,Absolutely fantastic experience
14,Would not recommend
15,Pretty good overall
16,Exceeded all my expectations
17,Deeply disappointed with this
18,"Solid product, does the job"
19,Complete waste of money
20,I love this product
21,This was terrible
22,"It's fine, nothing special"
23,Absolutely fantastic experience
24,Would not recommend
25,Pretty good overall
26,Exceeded all my expectations
27,Deeply disappointed with this
28,"Solid product, does the job"
29,Complete waste of money
30,I love this product
31,This was terrible
32,"It's fine, nothing special"
33,Absolutely fantastic experience
34,Would not recommend
35,Pretty good overall
36,Exceeded all my expectations
37,Deeply disappointed with this
38,"Solid product, does the job"
39,Complete waste of money
40,I love this product
41,This was terrible
42,"It's fine, nothing special"
43,Absolutely fantastic experience
44,Would not recommend
45,Pretty good overall
46,Exceeded all my expectations
47,Deeply disappointed with this
48,"Solid product, does the job"
49,Complete waste of money
50,I love this product
51,This was terrible
52,"It's fine, nothing special"
53,Absolutely fantastic experience
54,Would not recommend
55,Pretty good overall
56,Exceeded all my expectations
57,Deeply disappointed with this
58,"Solid product, does the job"
59,Complete waste of money
60,I love this product
61,This was terrible
62,"It's fine, nothing special"
63,Absolutely fantastic experience
64,Would not recommend
65,Pretty good overall
66,Exceeded all my expectations
67,Deeply disappointed with this
68,"Solid product, does the job"
69,Complete waste of money
70,I love this product
71,This was terrible
72,"It's fine, nothing special"
73,Absolutely fantastic experience
74,Would not recommend
75,Pretty good overall
76,Exceeded all my expectations
77,Deeply disappointed with this
78,"Solid product, does the job"
79,Complete waste of money
80,I love this product
81,This was terrible
82,"It's fine, nothing special"
83,Absolutely fantastic experience
84,Would not recommend
85,Pretty good overall
86,Exceeded all my expectations
87,Deeply disappointed with this
88,"Solid product, does the job"
89,Complete waste of money
90,I love this product
91,This was terrible
92,"It's fine, nothing special"
93,Absolutely fantastic experience
94,Would not recommend
95,Pretty good overall
96,Exceeded all my expectations
97,Deeply disappointed with this
98,"Solid product, does the job"
99,Complete waste of money
100,I love this product
